_id,gameId,teamId,assists,blocks,steals,fieldGoalsPercentage,threePointersPercentage,freeThrowsPercentage,reboundsDefensive,reboundsOffensive,reboundsTotal,turnovers,q1Points,q2Points,q3Points,q4Points
699821cee161b702e08821e7,32500041,1610616859,8,3,3,0.606,0.4,0.5,17,6,23,3,47,NaN,NaN,NaN
699821cee161b702e08821e8,32500041,1610616860,5,0,1,0.258,0.211,0.5,7,5,12,4,21,NaN,NaN,NaN
699821cee161b702e08821e9,32500031,1610616860,8,3,3,0.581,0.563,1,7,1,8,0,48,NaN,NaN,NaN
699821cee161b702e08821ea,32500031,1610616861,10,0,0,0.593,0.5,0.778,10,3,13,4,45,NaN,NaN,NaN
699821cee161b702e08821eb,32500021,1610616859,10,1,5,0.567,0.3,0.6,14,3,17,9,40,NaN,NaN,NaN
699821cee161b702e08821ec,32500021,1610616860,10,2,8,0.471,0.471,1,9,3,12,5,42,NaN,NaN,NaN
699821cee161b702e08821ed,32500011,1610616859,13,4,4,0.444,0.313,0,15,4,19,3,32,5,NaN,NaN
699821cee161b702e08821ee,32500011,1610616861,12,3,1,0.414,0.357,1,15,1,16,4,32,3,NaN,NaN
699821cee161b702e08821ef,32500006,1610616862,4,0,1,0.421,0.429,1,7,3,10,2,24,NaN,NaN,NaN
699821cee161b702e08821f0,32500006,1610616863,7,1,2,0.44,0.071,1,8,7,15,1,25,NaN,NaN,NaN
699821cee161b702e08821f1,32500005,1610616863,9,2,2,0.469,0.333,0.714,13,4,17,2,41,NaN,NaN,NaN
699821cee161b702e08821f2,32500005,1610616864,9,1,0,0.424,0.375,1,13,5,18,3,36,NaN,NaN,NaN
699821cee161b702e08821f3,32500004,1610616862,8,2,2,0.552,0.4,1,8,1,9,1,40,NaN,NaN,NaN
699821cee161b702e08821f4,32500004,1610616865,11,1,1,0.438,0.417,1,11,6,17,5,34,NaN,NaN,NaN
699821cee161b702e08821f5,22500791,1610612742,22,1,7,0.494,0.269,0.76,24,4,28,15,31,32,19,22
699821cee161b702e08821f6,22500791,1610612747,35,3,8,0.558,0.323,0.857,34,10,44,12,36,28,32,28
699821cee161b702e08821f7,22500790,1610612757,26,7,7,0.511,0.391,0.758,33,19,52,19,28,33,40,34
699821cee161b702e08821f8,22500790,1610612762,28,3,15,0.483,0.368,0.724,26,12,38,19,31,32,23,33
699821cee161b702e08821f9,22500789,1610612749,25,6,9,0.463,0.405,0.714,34,15,49,10,30,37,22,21
699821cee161b702e08821fa,22500789,1610612760,22,6,3,0.373,0.333,0.8,33,14,47,16,25,30,18,20
699821cee161b702e08821fb,22500788,1610612744,37,1,6,0.462,0.34,0.765,30,10,40,11,38,29,27,19
699821cee161b702e08821fc,22500788,1610612759,35,5,6,0.495,0.256,0.857,30,14,44,9,31,32,31,32
699821cee161b702e08821fd,22500787,1610612743,29,1,2,0.531,0.455,0.813,37,9,46,14,30,30,33,29
