_id,gameId,teamId,defRating,eOffRating,efgPct,netRating,pace,tsPct
699821d4e161b702e08a5a7b,22500742,1610612765,84.2,124.7,0.633,42.7,94,0.658
699821d4e161b702e08a5a7c,22500745,1610612757,110.6,128.3,0.639,19.2,104,0.68
699821d4e161b702e08a5a7d,22500744,1610612740,118.6,119.4,0.631,4.1,97,0.663
699821d4e161b702e08a5a7e,22500746,1610612746,114.4,116.5,0.585,0.7,98,0.656
699821d4e161b702e08a5a7f,22500743,1610612754,114.1,107.3,0.519,-7.7,92.5,0.561
699821d4e161b702e08a5a80,22500741,1610612738,103.2,100.9,0.476,3.3,92.5,0.521
699821d4e161b702e08a5a81,22500741,1610612748,106.5,102.2,0.494,-3.3,92.5,0.522
699821d4e161b702e08a5a82,22500743,1610612749,106.5,108.7,0.532,7.7,92.5,0.538
699821d4e161b702e08a5a83,22500746,1610612758,115.2,110.3,0.5,-0.7,98,0.546
699821d4e161b702e08a5a84,22500744,1610612750,122.7,119.2,0.489,-4.1,97,0.54
699821d4e161b702e08a5a85,22500745,1610612763,129.8,111.4,0.563,-19.2,104,0.591
699821d4e161b702e08a5a86,22500742,1610612752,126.9,84.7,0.402,-42.7,94,0.447
699821d4e161b702e08a5a87,22500734,1610612753,100,115.8,0.591,21.6,97.5,0.628
699821d4e161b702e08a5a88,22500736,1610612761,111.5,127.2,0.644,19.4,95,0.663
699821d4e161b702e08a5a89,22500735,1610612737,120.2,122.1,0.531,2,99,0.56
699821d4e161b702e08a5a8a,22500738,1610612759,115,123.9,0.595,12.4,106.5,0.637
699821d4e161b702e08a5a8b,22500739,1610612744,109,112.5,0.566,3.2,89.5,0.596
699821d4e161b702e08a5a8c,22500740,1610612747,111.7,115.7,0.614,2.8,103.5,0.655
699821d4e161b702e08a5a8d,22500737,1610612766,102.1,106.2,0.511,11.5,96.5,0.564
699821d4e161b702e08a5a8e,22500733,1610612764,114.7,120.1,0.637,8.8,102,0.637
699821d4e161b702e08a5a8f,22500733,1610612765,123.5,113,0.517,-8.8,102,0.571
699821d4e161b702e08a5a90,22500737,1610612745,113.5,101.2,0.506,-11.5,96.5,0.539
699821d4e161b702e08a5a91,22500740,1610612755,114.4,109.4,0.565,-2.8,103.5,0.611
699821d4e161b702e08a5a92,22500739,1610612756,112.2,107,0.561,-3.2,89.5,0.573
699821d4e161b702e08a5a93,22500738,1610612742,127.4,114.1,0.546,-12.4,106.5,0.581
699821d4e161b702e08a5a94,22500735,1610612762,122.2,115.8,0.525,-2,99,0.542
699821d4e161b702e08a5a95,22500736,1610612741,130.9,108.6,0.549,-19.4,95,0.566
699821d4e161b702e08a5a96,22500734,1610612751,121.6,95.4,0.488,-21.6,97.5,0.517
699821d4e161b702e08a5a97,22500732,1610612739,91.9,124.3,0.592,33.3,99,0.598
699821d4e161b702e08a5a98,22500728,1610612738,102.2,121.5,0.539,24.5,90.5,0.577
699821d4e161b702e08a5a99,22500730,1610612759,101,109.6,0.515,9.5,105,0.528
699821d4e161b702e08a5a9a,22500729,1610612749,130.5,133.8,0.723,2.5,95.55,0.731
699821d4e161b702e08a5a9b,22500731,1610612763,122.5,123.7,0.6,2.7,102.5,0.63
699821d4e161b702e08a5a9c,22500726,1610612752,114.4,120.3,0.59,6.3,91.86,0.618
699821d4e161b702e08a5a9d,22500727,1610612761,123.1,121.7,0.612,-0.7,103.5,0.633
699821d4e161b702e08a5a9e,22500727,1610612750,122.3,121.9,0.588,0.7,103.5,0.593
699821d4e161b702e08a5a9f,22500726,1610612743,120.7,107.7,0.5,-6.3,91.86,0.543
699821d4e161b702e08a5aa0,22500731,1610612758,125.2,112.3,0.505,-2.7,102.5,0.556
699821d4e161b702e08a5aa1,22500729,1610612740,133,129.5,0.606,-2.5,95.55,0.642
699821d4e161b702e08a5aa2,22500730,1610612760,110.5,101.8,0.5,-9.5,105,0.534
699821d4e161b702e08a5aa3,22500728,1610612745,126.7,103.7,0.482,-24.5,90.5,0.507
699821d4e161b702e08a5aa4,22500732,1610612746,125.3,88.1,0.5,-33.3,99,0.534
699821d4e161b702e08a5aa5,22500723,1610612760,93.9,126.2,0.581,38.1,97.5,0.613
699821d4e161b702e08a5aa6,22500718,1610612752,100,129.6,0.617,30.7,101,0.648
699821d4e161b702e08a5aa7,22500724,1610612755,103.3,125.2,0.522,20.9,91,0.553
699821d4e161b702e08a5aa8,22500719,1610612747,105.8,120,0.582,15.5,103,0.612
699821d4e161b702e08a5aa9,22500717,1610612762,116.2,126.6,0.642,9.8,104.5,0.659
699821d4e161b702e08a5aaa,22500721,1610612738,104.2,112,0.557,11.6,95.5,0.56
699821d4e161b702e08a5aab,22500722,1610612749,112.7,125.2,0.634,18.3,101,0.632
699821d4e161b702e08a5aac,22500720,1610612737,107.5,117.9,0.589,11.2,107,0.595
699821d4e161b702e08a5aad,22500725,1610612756,127.6,134.6,0.619,6.5,97.5,0.627
699821d4e161b702e08a5aae,22500716,1610612743,124,121.1,0.506,-4.2,100.5,0.594
699821d4e161b702e08a5aaf,22500716,1610612765,119.8,119,0.521,4.2,100.5,0.578
699821d4e161b702e08a5ab0,22500725,1610612757,134,122.6,0.589,-6.5,97.5,0.607
699821d4e161b702e08a5ab1,22500720,1610612748,118.7,106,0.479,-11.2,107,0.535
699821d4e161b702e08a5ab2,22500722,1610612741,131,113.7,0.544,-18.3,101,0.569
699821d4e161b702e08a5ab3,22500721,1610612742,115.8,105.6,0.466,-11.6,95.5,0.507
699821d4e161b702e08a5ab4,22500717,1610612754,126,117.4,0.619,-9.8,104.5,0.636
699821d4e161b702e08a5ab5,22500719,1610612751,121.4,104.6,0.532,-15.5,103,0.544
699821d4e161b702e08a5ab6,22500724,1610612744,124.2,103.4,0.596,-20.9,91,0.596
699821d4e161b702e08a5ab7,22500718,1610612764,130.7,98,0.471,-30.7,101,0.505
699821d4e161b702e08a5ab8,22500723,1610612753,132,92.1,0.455,-38.1,97.5,0.49
699821d4e161b702e08a5ab9,22500714,1610612763,129.3,135.1,0.608,9.1,99,0.662
699821d4e161b702e08a5aba,22500715,1610612755,121.5,133.8,0.569,13.2,94,0.617
699821d4e161b702e08a5abb,22500712,1610612766,99,101.1,0.471,6.2,96.5,0.526
699821d4e161b702e08a5abc,22500713,1610612745,115.2,117.7,0.5,5.3,98.5,0.571
699821d4e161b702e08a5abd,22500713,1610612754,120.4,114.9,0.563,-5.3,98.5,0.592
699821d4e161b702e08a5abe,22500712,1610612740,105.2,96.9,0.458,-6.2,96.5,0.5
699821d4e161b702e08a5abf,22500715,1610612746,134.7,118,0.647,-13.2,94,0.651
